,name,ward,endorsed,vision,expertise
48,"DENNISON, Samuel",Akoonah,No,"Liveable, accessible and prosperous. Where streets are lined with appropriately chosen trees, roads are built well and on time, parks are maintained and abundant. Let's give life back to our suburban centres and main streets, making them places where people can easily get to and want to spend their time.",I've enjoyed volunteering with groups like Sikh Volunteers Australia and the Mental Health Foundation Australia for many years and I will bring the same energy and experience to this role. I run a small business and understand the contribution small businesses make to both the local community and broader economy.
72,"DOWLING, Scott William",Akoonah,No,"Public Safety, Thriving Neighbourhoods, Safe Roads, Clean Parks, Upgraded facilities, Responsible Spending","I have extensive experience in both the corporate and private sectors, I bring practical business acumen and strategic insight to my candidacy. I understand the importance of fostering a thriving local economy and believe that smart development and strategic support for business is essential to our community’s long-term success"
19,"FERDINANDS, Patrick R.",Akoonah,No,"My vision is to build a vibrant, inclusive community where innovation and sustainability drive progress, and every citizen has a voice and a stake in shaping our shared future. A vibrant community is one where residents are active and involved. Inclusivity ensures all residents have access to opportunities and resources.","My background as a prosecutor and lawyer provides me with critical skills in analysis, advocacy, and negotiation. These competencies enable me to address community concerns effectively, craft sound policies, and represent diverse interests impartially, ensuring fair and strategic decision-making in my role as a Councillor."
44,"PAGLIUCA, Dianne",Akoonah,No,"With well managed growth, I envisage Casey to be a safer and more connected city with improvements to our core services. Advances in technology for improving waste management and sustainability, as well developing and maintaining our green spaces will ensure healthier and happier communities for future generations.","Having a father and grandfather who were Councillors, they have fostered my dedication, integrity and commitment to the community. With my extensive volunteer work, a B.Ed., and completing the Casey Community Leadership Program, I have the knowledge and skills to be an impartial and thoughtful voice for our community."
11,"RAHAMAN, Mush",Akoonah,No,"A vibrant Akoonah Ward aligned with Casey’s goal of 'Creating Australia’s Most Liveable City': enhancing senior support, revitalizing local businesses, and ensuring safety. I will maintain these priorities to meet community needs and contribute to a thriving Berwick and Beaconsfield, reflecting our shared vision for a proud, livable community.","My expertise in Human Resources and Project Management, combined with my resilience in local business and strong communication skills, make me well-suited to serve as a Councillor. My deep understanding of our community and commitment to its growth and safety will ensure effective and impactful representation for Akoonah Ward."
63,"SHAH, Kushal",Akoonah,No,"My vision is to use my professional expertise to make the Casey Council a strong model of good governance, integrity, transparency and financial management. Only then can it meet community expectations and restore trust. My '4Cs for Casey' vision will deliver on this.","I bring more than 25 years of proven professional experience and expertise in governance, financial management, integrity and law, and improving organisational performance to achieve objectives. I have successfully used my professional expertise to consistently deliver successful community outcomes through my Board roles and involvement in public policy."
56,"ALI, Morteza",Casuarina,No,"Community Well-being especially young boys from different ethnic backgrounds. They come in different environments and needs to know requirements of Australia. I will ensure they will get equal opportunity and get access to services and Enhancing the quality of life for residents through improved services, infrastructure, and public safety.","My life is incredibly powerful and inspiring. From surviving the tragedies of war to excelling academically and professionally, i have demonstrated remarkable resilience and leadership. My experiences including graduating from Oxford and playing first class cricket and an author of ""Staring at Death,"""
9,"CARMODY, Suzanne",Casuarina,No,"My vision for the City of Casey is a cohesive, connected municipality enriched by its diversity. A safe place to call home where services keep pace with development and citizens have everything they need to thrive. A place where our strength comes from leaning on, and learning from, each other.",Excellent Listener. Strong ability to connect with a diverse range of individuals. Able to break down complex concepts into simpler ideas. Experience managing finances for a small IT business. Productive relationships with members of State and Federal government. Understanding of transparency and good governance from school council.
45,"FLANNERY, Rex",Casuarina,No,My vision is to bring people together as one where there is no devision of race or religion.,Compassion justice respect and excellence these are my values
80,"FOREMAN, Jane",Casuarina,No,"To make the City of Casey a Vibrant, Safe, Thriving Community where families and residents can flourish and prosper. To see the Webb Street Shopping Precinct transformed and the Max Pawsey Reserve get the upgrades it desperately needs in a timely manner.","I am a dedicated community advocate and former councillor and registered nurse, known for my commitment to public service and community well-being. I have led numerous community programs, and I'm committed to promoting strong community engagement, transparency and fiscal responsibility."
20,"KELAART, Michael",Casuarina,No,"My vision for Casey is to provide for the growth and infrastructure of our city. Nearly 75 percent of residents work outside our city creating travel and congestion for our parents and local constituents. we need to identify and fast-track support networks for new business opportunities and local employment,","I been a member of Casey C21 planning with qualifications in business, marketing, construction and advanced management, currently a committee member of the HIA. I have managed large businesses within Casey that employed local residents. I have also been President and on the Executive of many local clubs and associations."
36,"KHALIQY, Mariam",Casuarina,No,"My vision is to create a safe, inclusive, thriving community where every resident feels supported and empowered. I aim to strengthen services for families affected by violence, enhance mental health resources for youth, and improve educational facilities for students with disabilities.","As a teacher, I bring strong communication skills, empathy, and a deep understanding of community needs. My experience in education has honed my ability to advocate for others, collaborate effectively, and problem-solve. These attributes will enable me to represent and serve our community effectively as a Councillor."
7,"LAZAROS, Rex",Casuarina,No,"My vision for the municipality of Casey Council is to build a community where kids thrive through fully supported schools, with improved sports programs. I want to create a city where families feel involved, not weighed down by high rates, and where the council works in step with its residents.","I bring a young perspective, with a Bachelor in Business and Psychology, and a connection to the area. My lack of council experience is a strength - I’m not tied to the outdated council structure. We don’t need more delays or misplaced priorities we need new energy and better solutions."
